Id,LegacyKey,SiteName,SiteRole,District,MarkerX,MarkerY,MarkerZ,SpawnAX,SpawnAY,SpawnAZ,SpawnAHeading,SpawnOX,SpawnOY,SpawnOZ,SpawnOHeading,MaxObjectLine,MaxObjectRow,ObjectModel,GateX,GateY,GateZ,BarrierModel,WorkerX,WorkerY,WorkerZ,Input,OptionalInput,Output,Company,StartingResources,Density,EmptyingRate,OwnershipTier,IndustryProductionRateCasual,IndustryLicencePriceCasual,IndustryPriceCasual,IndustryProductionRateStandard,IndustryLicencePriceStandard,IndustryPriceStandard,IndustryProductionRateHardcore,IndustryLicencePriceHardcore,IndustryPriceHardcore,IndustryOwnerCut,InputCapacityCasual,InputCapacityStandard,InputCapacityHardcore,OutputCapacityCasual,OutputCapacityStandard,OutputCapacityHardcore,ProductionRatioCasual,ProductionRatioStandard,ProductionRatioHardcore,LicenceCasual,LicenceStandard,LicenceHardcore,Enabled,PermitCasual,PermitStandard,PermitHardcore,FreeRefuel,GroundLevel
713,Petrol Station 14,US Route 68 - Grand Senora Desert - East,FuelSink,GrandSenora,48,2776,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,XERO,0.3,VeryLow,0.35,Local,,,200000,,,450000,,,800000,,5,5,5,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
714,Petrol Station 15,Senora Rd,FuelSink,GrandSenora,264,2610,44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,Globe Oil,0.3,VeryLow,0.35,Local,,,200000,,,450000,,,800000,,5,5,5,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
715,Petrol Station 16,US Route 68 - Grand Senora Desert - West,FuelSink,GrandSenora,1207,2658,37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,Globe Oil,0.3,Low,0.8,Local,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
716,Petrol Station 17,US Route 13,FuelSink,GrandSenora,2682,3261,55.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,XERO,0.3,Medium,2.25,Local,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
717,Petrol Station 18,Sandy Shores Marina Drive,FuelSink,GrandSenora,2006,3772,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,XERO,0.3,Low,0.8,Local,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
718,Petrol Station 19,Grapeseed Main Street,FuelSink,Grapeseed,1689,4930,42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,LTD,0.3,Low,0.8,Local,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
719,Petrol Station 20,US Route 13 - Mount Chiliad,FuelSink,PaletoBay,1700,6412,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,Globe Oil,0.3,Medium,2.25,Local,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
720,Petrol Station 21,US Route 1,FuelSink,PaletoBay,195,6607,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,Medium,2.25,Local,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
721,Petrol Station 22,Cascabel Ave,FuelSink,PaletoBay,-94,6424,31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,XERO,0.3,Low,0.8,Local,,,200000,,,450000,,,800000,,10,10,10,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
722,Petrol Station 23,Office Gas Station,FuelSink,Port,-61.84,-2532.41,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,1,None,0,Starter,,,0,,,0,,,0,,1000,1000,1000,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,
723,Petrol Station 24,Davis Avenue 2,FuelSink,SouthLosSantos,170,-1556.77,29.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,High,4,Local,,,200000,,,450000,,,800000,,100,100,100,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
724,Petrol Station 25,Harmony Gas Station,FuelSink,GrandSenora,1036.97,2677.62,39.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Fuel,,,RON,0.3,Medium,2.25,Local,,,200000,,,450000,,,800000,,60,60,60,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,,
